timestamp,open,high,low,close,volume
2026-01-01 00:00:00,2970.57,2982.3,2970.25,2978.83,14349.12
2026-01-01 01:00:00,2978.83,2988.54,2978.47,2983.54,25695.34
2026-01-01 02:00:00,2983.54,2987.14,2979.45,2981.63,6607.72
2026-01-01 03:00:00,2981.63,2985.83,2978.79,2979.42,6176
2026-01-01 04:00:00,2979.42,2980.29,2972.12,2974.96,14918.39
2026-01-01 05:00:00,2974.96,2983.34,2974.96,2981.02,7689.13
2026-01-01 06:00:00,2981.02,2981.03,2975.25,2975.92,10333.23
2026-01-01 07:00:00,2975.92,2981.37,2975.91,2977.46,9455.44
2026-01-01 08:00:00,2977.46,2982.75,2976.87,2981.61,7251.15
2026-01-01 09:00:00,2981.61,2986.85,2981.03,2982.98,12325.09
2026-01-01 10:00:00,2982.98,2985,2980.83,2984,7391.3
2026-01-01 11:00:00,2984,2993.08,2983.81,2988.31,18798.72
2026-01-01 12:00:00,2988.31,2989.79,2981.81,2986.24,12381.77
2026-01-01 13:00:00,2986.24,2988.89,2981.1,2981.57,12437.3
2026-01-01 14:00:00,2981.57,2985.57,2975.9,2984.38,20603.68
2026-01-01 15:00:00,2984.38,2994.68,2979.5,2988.9,22166.04
2026-01-01 16:00:00,2988.9,2990.01,2979.11,2981.19,26983.57
2026-01-01 17:00:00,2981.19,3005.54,2979.85,2989.83,49665.97
2026-01-01 18:00:00,2989.83,2991.88,2984.09,2989.05,25085.29
2026-01-01 19:00:00,2989.05,2996.99,2985.79,2994.31,10400.04
2026-01-01 20:00:00,2994.31,2995.75,2986.06,2988.02,11893.35
2026-01-01 21:00:00,2988.02,2991.97,2985.55,2988.39,6350.23
2026-01-01 22:00:00,2988.39,2998.96,2985.57,2997.73,16485.13
2026-01-01 23:00:00,2997.73,3008.73,2990.57,3002.79,44042.24
2026-01-02 00:00:00,3002.79,3007.05,2993.64,3004.65,24417.32
2026-01-02 01:00:00,3004.65,3007,2996.54,3001.4,12071.49
2026-01-02 02:00:00,3001.4,3002.35,2990.03,3000.59,21486.24
2026-01-02 03:00:00,3000.59,3034.66,2998.31,3021.49,89338.21
2026-01-02 04:00:00,3021.49,3023.77,3009.1,3010.5,23399.52
2026-01-02 05:00:00,3010.5,3017.17,3006.77,3015.26,15605.39
2026-01-02 06:00:00,3015.26,3038.47,3013.17,3025.77,45425.96
2026-01-02 07:00:00,3025.77,3031.39,3015.51,3016.91,26212.76
2026-01-02 08:00:00,3016.91,3033.72,3013.95,3030.83,25366.85
2026-01-02 09:00:00,3030.83,3053.72,3028.86,3046.88,73012.19
2026-01-02 10:00:00,3046.88,3069.61,3044.07,3055.92,89726.04
2026-01-02 11:00:00,3055.92,3056.53,3039.3,3046.18,40539.75
2026-01-02 12:00:00,3046.18,3056.65,3041.63,3047.04,22373.26
2026-01-02 13:00:00,3047.04,3056.78,3044.99,3048.63,23859.57
2026-01-02 14:00:00,3048.63,3108.54,3018.76,3081.08,259494.15
2026-01-02 15:00:00,3081.08,3096.84,3052.94,3084.98,132719.27
2026-01-02 16:00:00,3084.98,3145.94,3076.95,3130.65,222258.87
2026-01-02 17:00:00,3130.65,3150,3109.01,3121.23,120081.67
2026-01-02 18:00:00,3121.23,3130.9,3095.26,3109,58614.37
2026-01-02 19:00:00,3109,3126.99,3105.1,3122.6,41673.31
2026-01-02 20:00:00,3122.6,3128.92,3109.65,3116.19,23118.04
2026-01-02 21:00:00,3116.19,3133.31,3115,3129.29,22018.95
2026-01-02 22:00:00,3129.29,3145.2,3126.6,3132.39,29311.04
2026-01-02 23:00:00,3132.39,3134.89,3118.6,3123.67,17471.18
2026-01-03 00:00:00,3123.67,3135.44,3120.81,3129.4,16026.22
2026-01-03 01:00:00,3129.4,3130.31,3121.64,3129.17,10655.01
2026-01-03 02:00:00,3129.17,3129.57,3118.23,3124.3,17967.27
