take_profit_pct,entry_step_pct,position_size_pct,max_entries,leverage,roi,total_pnl,win_rate,total_trades,trades_per_day,daily_pnl,max_trade_dd,max_balance_dd,max_duration_h,avg_entries,final_balance,commission,roi_dd_ratio
1.5,4.0,15.0,7,2,29.126919434466913,291.2691943446678,99.21875,128,0.08773132282385196,0.19963618529449473,65.90673356592549,41.23067285547501,14784.0,2.0703125,1291.2691943446691,63.40217774194393,0.7064381300922465
1.5,4.0,15.0,7,4,29.126919434466913,291.2691943446678,99.21875,128,0.08773132282385196,0.19963618529449473,65.90673356592549,41.23067285547501,14784.0,2.0703125,1291.2691943446691,63.40217774194393,0.7064381300922465
1.5,4.0,15.0,7,6,29.126919434466913,291.2691943446678,99.21875,128,0.08773132282385196,0.19963618529449473,65.90673356592549,41.23067285547501,14784.0,2.0703125,1291.2691943446691,63.40217774194393,0.7064381300922465
0.7,2.0,15.0,5,2,21.391813695145743,213.91813695145848,99.72451790633609,363,0.24880054832076764,0.14661969633410452,67.96098839413847,39.3596912824228,15625.0,1.600550964187328,1213.9181369514574,136.08153198790293,0.543495464475324
0.7,2.0,15.0,5,4,21.391813695145743,213.91813695145848,99.72451790633609,363,0.24880054832076764,0.14661969633410452,67.96098839413847,39.3596912824228,15625.0,1.600550964187328,1213.9181369514574,136.08153198790293,0.543495464475324
0.7,2.0,15.0,5,6,21.391813695145743,213.91813695145848,99.72451790633609,363,0.24880054832076764,0.14661969633410452,67.96098839413847,39.3596912824228,15625.0,1.600550964187328,1213.9181369514574,136.08153198790293,0.543495464475324
1.5,4.0,10.0,7,2,19.664817407372563,196.64817407372468,99.21875,128,0.08773132282385196,0.13478284720611697,65.90664415185712,29.871387960915722,14784.0,2.0703125,1196.6481740737256,38.40254500398311,0.6583161597011286
1.5,4.0,10.0,7,4,19.664817407372563,196.64817407372468,99.21875,128,0.08773132282385196,0.13478284720611697,65.90664415185712,29.871387960915722,14784.0,2.0703125,1196.6481740737256,38.40254500398311,0.6583161597011286
1.5,4.0,10.0,7,6,19.664817407372563,196.64817407372468,99.21875,128,0.08773132282385196,0.13478284720611697,65.90664415185712,29.871387960915722,14784.0,2.0703125,1196.6481740737256,38.40254500398311,0.6583161597011286
1.5,4.0,8.0,7,2,15.756220937331683,157.56220937331696,99.21875,128,0.08773132282385196,0.10799328949507674,65.90729085450981,24.725488886590846,14784.0,2.0703125,1157.5622093733168,29.58654412738125,0.6372460827610416
1.5,4.0,8.0,7,4,15.756220937331683,157.56220937331696,99.21875,128,0.08773132282385196,0.10799328949507674,65.90729085450981,24.725488886590846,14784.0,2.0703125,1157.5622093733168,29.58654412738125,0.6372460827610416
1.5,4.0,8.0,7,6,15.756220937331683,157.56220937331696,99.21875,128,0.08773132282385196,0.10799328949507674,65.90729085450981,24.725488886590846,14784.0,2.0703125,1157.5622093733168,29.58654412738125,0.6372460827610416
0.7,2.0,10.0,5,2,15.050826332323004,150.50826332322927,99.72451790633609,363,0.24880054832076764,0.1031585081036527,67.96010511765903,28.365559099557718,15625.0,1.600550964187328,1150.50826332323,82.96292237445446,0.5306021390058792
0.7,2.0,10.0,5,4,15.050826332323004,150.50826332322927,99.72451790633609,363,0.24880054832076764,0.1031585081036527,67.96010511765903,28.365559099557718,15625.0,1.600550964187328,1150.50826332323,82.96292237445446,0.5306021390058792
0.7,2.0,10.0,5,6,15.050826332323004,150.50826332322927,99.72451790633609,363,0.24880054832076764,0.1031585081036527,67.96010511765903,28.365559099557718,15625.0,1.600550964187328,1150.50826332323,82.96292237445446,0.5306021390058792
1.0,4.0,15.0,7,2,13.371915028304898,133.71915028304952,99.41520467836257,171,0.11720356408498972,0.09165123391572962,65.90691743563659,33.06418221444515,14784.0,1.8245614035087718,1133.719150283049,69.40926964921728,0.4044229777581781
1.0,4.0,15.0,7,4,13.371915028304898,133.71915028304952,99.41520467836257,171,0.11720356408498972,0.09165123391572962,65.90691743563659,33.06418221444515,14784.0,1.8245614035087718,1133.719150283049,69.40926964921728,0.4044229777581781
1.0,4.0,15.0,7,6,13.371915028304898,133.71915028304952,99.41520467836257,171,0.11720356408498972,0.09165123391572962,65.90691743563659,33.06418221444515,14784.0,1.8245614035087718,1133.719150283049,69.40926964921728,0.4044229777581781
0.7,2.0,8.0,5,2,12.22238716475581,122.22387164755793,99.72451790633609,363,0.24880054832076764,0.08377235890853868,67.96124423110646,23.426275281781827,15625.0,1.600550964187328,1122.223871647558,64.0803392263653,0.5217383906634501
0.7,2.0,8.0,5,4,12.22238716475581,122.22387164755793,99.72451790633609,363,0.24880054832076764,0.08377235890853868,67.96124423110646,23.426275281781827,15625.0,1.600550964187328,1122.223871647558,64.0803392263653,0.5217383906634501
0.7,2.0,8.0,5,6,12.22238716475581,122.22387164755793,99.72451790633609,363,0.24880054832076764,0.08377235890853868,67.96124423110646,23.426275281781827,15625.0,1.600550964187328,1122.223871647558,64.0803392263653,0.5217383906634501
0.7,3.0,15.0,7,2,11.880794933692346,118.80794933692069,99.6845425867508,317,0.21727210418094586,0.0814310824790409,66.479110782409,34.993187436578054,14808.0,1.586750788643533,1118.8079493369235,113.53080965823817,0.33951736906577024
0.7,3.0,15.0,7,4,11.880794933692346,118.80794933692069,99.6845425867508,317,0.21727210418094586,0.0814310824790409,66.479110782409,34.993187436578054,14808.0,1.586750788643533,1118.8079493369235,113.53080965823817,0.33951736906577024
0.7,3.0,15.0,7,6,11.880794933692346,118.80794933692069,99.6845425867508,317,0.21727210418094586,0.0814310824790409,66.479110782409,34.993187436578054,14808.0,1.586750788643533,1118.8079493369235,113.53080965823817,0.33951736906577024
1.0,2.0,15.0,5,2,11.706526556725658,117.06526556725758,99.54128440366972,218,0.14941740918437285,0.08023664535110184,73.11904451128042,40.002687041998605,16658.0,1.8027522935779816,1117.0652655672566,92.60704782697455,0.29264350528340854
1.0,2.0,15.0,5,4,11.706526556725658,117.06526556725758,99.54128440366972,218,0.14941740918437285,0.08023664535110184,73.11904451128042,40.002687041998605,16658.0,1.8027522935779816,1117.0652655672566,92.60704782697455,0.29264350528340854
1.0,2.0,15.0,5,6,11.706526556725658,117.06526556725758,99.54128440366972,218,0.14941740918437285,0.08023664535110184,73.11904451128042,40.002687041998605,16658.0,1.8027522935779816,1117.0652655672566,92.60704782697455,0.29264350528340854
1.0,2.0,15.0,3,2,10.693310517527426,106.93310517527463,99.47643979057592,191,0.13091158327621658,0.07329205289600729,73.36433119642224,31.664491399538942,16658.0,1.5287958115183247,1106.9331051752742,64.12277515247578,0.33770668799319886
1.0,2.0,15.0,3,4,10.693310517527426,106.93310517527463,99.47643979057592,191,0.13091158327621658,0.07329205289600729,73.36433119642224,31.664491399538942,16658.0,1.5287958115183247,1106.9331051752742,64.12277515247578,0.33770668799319886
1.0,2.0,15.0,3,6,10.693310517527426,106.93310517527463,99.47643979057592,191,0.13091158327621658,0.07329205289600729,73.36433119642224,31.664491399538942,16658.0,1.5287958115183247,1106.9331051752742,64.12277515247578,0.33770668799319886
0.7,2.0,15.0,7,2,10.660163464451125,106.60163464451055,99.73262032085562,374,0.2563399588759424,0.07306486267615528,67.75793938741253,42.62820143833498,15611.0,1.7299465240641712,1106.6016346445113,156.19304107526327,0.25007302923328545
0.7,2.0,15.0,7,4,10.660163464451125,106.60163464451055,99.73262032085562,374,0.2563399588759424,0.07306486267615528,67.75793938741253,42.62820143833498,15611.0,1.7299465240641712,1106.6016346445113,156.19304107526327,0.25007302923328545
0.7,2.0,15.0,7,6,10.660163464451125,106.60163464451055,99.73262032085562,374,0.2563399588759424,0.07306486267615528,67.75793938741253,42.62820143833498,15611.0,1.7299465240641712,1106.6016346445113,156.19304107526327,0.25007302923328545
1.5,4.0,5.0,7,2,9.8403517479323,98.40351747932425,99.21875,128,0.08773132282385196,0.06744586530454026,65.90680974977893,16.2762449630666,14784.0,2.0703125,1098.403517479323,17.486806844896034,0.6045836598221291
1.5,4.0,5.0,7,4,9.8403517479323,98.40351747932425,99.21875,128,0.08773132282385196,0.06744586530454026,65.90680974977893,16.2762449630666,14784.0,2.0703125,1098.403517479323,17.486806844896034,0.6045836598221291
1.5,4.0,5.0,7,6,9.8403517479323,98.40351747932425,99.21875,128,0.08773132282385196,0.06744586530454026,65.90680974977893,16.2762449630666,14784.0,2.0703125,1098.403517479323,17.486806844896034,0.6045836598221291
1.0,2.0,10.0,5,2,9.695166384161553,96.95166384161337,99.54128440366972,218,0.14941740918437285,0.0664507634281106,73.11866624357022,28.877950591205575,16658.0,1.8027522935779816,1096.9516638416155,56.34140141901424,0.3357290315163188
1.0,2.0,10.0,5,4,9.695166384161553,96.95166384161337,99.54128440366972,218,0.14941740918437285,0.0664507634281106,73.11866624357022,28.877950591205575,16658.0,1.8027522935779816,1096.9516638416155,56.34140141901424,0.3357290315163188
1.0,2.0,10.0,5,6,9.695166384161553,96.95166384161337,99.54128440366972,218,0.14941740918437285,0.0664507634281106,73.11866624357022,28.877950591205575,16658.0,1.8027522935779816,1096.9516638416155,56.34140141901424,0.3357290315163188
1.0,4.0,10.0,7,2,9.695111312152221,96.95111312152098,99.41520467836257,171,0.11720356408498972,0.06645038596403083,65.9079977474754,23.49586583869809,14784.0,1.8245614035087718,1096.9511131215222,43.09045098398273,0.4126305188627783
1.0,4.0,10.0,7,4,9.695111312152221,96.95111312152098,99.41520467836257,171,0.11720356408498972,0.06645038596403083,65.9079977474754,23.49586583869809,14784.0,1.8245614035087718,1096.9511131215222,43.09045098398273,0.4126305188627783
1.0,4.0,10.0,7,6,9.695111312152221,96.95111312152098,99.41520467836257,171,0.11720356408498972,0.06645038596403083,65.9079977474754,23.49586583869809,14784.0,1.8245614035087718,1096.9511131215222,43.09045098398273,0.4126305188627783
0.7,2.0,10.0,7,2,9.61455893039008,96.14558930390484,99.73262032085562,374,0.2563399588759424,0.06589827916648722,67.75825100385771,30.967459878151793,15611.0,1.7299465240641712,1096.1455893039008,94.21003655268134,0.3104729599463648
0.7,2.0,10.0,7,4,9.61455893039008,96.14558930390484,99.73262032085562,374,0.2563399588759424,0.06589827916648722,67.75825100385771,30.967459878151793,15611.0,1.7299465240641712,1096.1455893039008,94.21003655268134,0.3104729599463648
0.7,2.0,10.0,7,6,9.61455893039008,96.14558930390484,99.73262032085562,374,0.2563399588759424,0.06589827916648722,67.75825100385771,30.967459878151793,15611.0,1.7299465240641712,1096.1455893039008,94.21003655268134,0.3104729599463648
0.5,3.0,15.0,3,2,9.556883839743932,95.56883839743787,99.6845425867508,317,0.21727210418094586,0.06550297354176687,67.25499882017118,20.091912420809585,15599.0,1.252365930599369,1095.5688383974393,80.24522052554376,0.47565824693948405
0.5,3.0,15.0,3,4,9.556883839743932,95.56883839743787,99.6845425867508,317,0.21727210418094586,0.06550297354176687,67.25499882017118,20.091912420809585,15599.0,1.252365930599369,1095.5688383974393,80.24522052554376,0.47565824693948405
0.5,3.0,15.0,3,6,9.556883839743932,95.56883839743787,99.6845425867508,317,0.21727210418094586,0.06550297354176687,67.25499882017118,20.091912420809585,15599.0,1.252365930599369,1095.5688383974393,80.24522052554376,0.47565824693948405
0.7,3.0,10.0,7,2,9.054584004603862,90.54584004603906,99.6845425867508,317,0.21727210418094586,0.06206020565184309,66.47856881677883,24.965509368989903,14808.0,1.586750788643533,1090.5458400460386,70.103958260454,0.362683727809324
0.7,3.0,10.0,7,4,9.054584004603862,90.54584004603906,99.6845425867508,317,0.21727210418094586,0.06206020565184309,66.47856881677883,24.965509368989903,14808.0,1.586750788643533,1090.5458400460386,70.103958260454,0.362683727809324
0.7,3.0,10.0,7,6,9.054584004603862,90.54584004603906,99.6845425867508,317,0.21727210418094586,0.06206020565184309,66.47856881677883,24.965509368989903,14808.0,1.586750788643533,1090.5458400460386,70.103958260454,0.362683727809324
0.7,3.0,15.0,3,2,8.590268140423769,85.90268140423854,99.47368421052632,190,0.13022618231665525,0.05887778026335746,72.77704618413993,19.382784662301088,16642.0,1.3210526315789475,1085.9026814042377,50.53176743331549,0.44319060909403657
0.7,3.0,15.0,3,4,8.590268140423769,85.90268140423854,99.47368421052632,190,0.13022618231665525,0.05887778026335746,72.77704618413993,19.382784662301088,16642.0,1.3210526315789475,1085.9026814042377,50.53176743331549,0.44319060909403657
0.7,3.0,15.0,3,6,8.590268140423769,85.90268140423854,99.47368421052632,190,0.13022618231665525,0.05887778026335746,72.77704618413993,19.382784662301088,16642.0,1.3210526315789475,1085.9026814042377,50.53176743331549,0.44319060909403657
0.7,2.0,8.0,7,2,8.322073688759609,83.22073688759414,99.73262032085562,374,0.2563399588759424,0.05703957291815911,67.75770564730382,25.661010263787396,15611.0,1.7299465240641712,1083.220736887596,72.46770573231474,0.3243081080289208
