ID,Открытие,Закрытие,Входов,Средняя цена,Цена выхода,Количество,PnL,Комиссия,Чистый PnL,Просадка %,Длительность
1,2026-01-06 17:00,2026-01-06 18:00,1,3194.73,3226.68,0.0157,0.50,0.06,0.44,0.0,1ч 0мин
2,2026-01-07 09:00,2026-01-09 01:00,5,3115.60,3146.75,0.0802,2.50,0.30,2.20,2.2,1д 16ч 0мин
3,2026-01-12 21:00,2026-01-13 04:00,1,3090.33,3121.23,0.0162,0.50,0.06,0.44,0.0,7ч 0мин
4,2026-01-15 02:00,2026-01-15 09:00,1,3312.63,3345.76,0.0151,0.50,0.06,0.44,0.9,7ч 0мин
5,2026-01-15 17:00,2026-01-18 14:00,1,3299.14,3332.13,0.0152,0.50,0.06,0.44,1.1,2д 21ч 0мин
6,2026-01-18 23:00,2026-03-13 18:00,5,3197.67,2102.30,0.0786,-86.10,0.25,-86.35,43.3,53д 19ч 0мин
