datetime,open,high,low,close,volume
2024-03-05 18:15:00,3670.65,3676.23,3642.66,3653.68,15416.8
2024-03-05 18:30:00,3653.68,3668.4,3644.46,3647.41,9446.12
2024-03-05 18:45:00,3647.41,3650.97,3592.91,3615.01,26015.33
2024-03-05 19:00:00,3615.01,3630.94,3580.01,3593.71,23017.66
2024-03-05 19:15:00,3593.71,3598.4,3533.33,3580.36,42990.06
2024-03-05 19:30:00,3580.36,3585.49,3440.02,3501.71,83025.05
2024-03-05 19:45:00,3501.71,3508.66,3186.13,3374.98,198785.23
2024-03-05 20:00:00,3374.98,3471.84,3353.24,3459.55,70203.05
2024-03-05 20:15:00,3459.55,3467.59,3389.28,3426.43,51210.6
2024-03-05 20:30:00,3426.43,3436.32,3325.69,3384.83,64798.56
2024-03-05 20:45:00,3384.83,3425.44,3384.64,3388.95,33277.19
2024-03-05 21:00:00,3388.95,3472.8,3386.3,3461.46,33521.79
2024-03-05 21:15:00,3461.46,3534.58,3460.69,3534.15,65068.64
2024-03-05 21:30:00,3534.15,3534.55,3488.26,3528.9,29312.3
2024-03-05 21:45:00,3528.9,3532.55,3503.09,3522.82,20759.84
2024-03-05 22:00:00,3522.82,3530.81,3502.13,3507.16,16738.45
2024-03-05 22:15:00,3507.16,3508.0,3452.67,3488.61,43878.61
2024-03-05 22:30:00,3488.61,3500.9,3434.06,3468.02,16604.44
2024-03-05 22:45:00,3468.02,3511.68,3459.63,3508.83,15293.86
2024-03-05 23:00:00,3508.83,3519.91,3495.22,3519.91,10498.29
2024-03-05 23:15:00,3519.91,3541.78,3516.41,3541.32,15800.21
2024-03-05 23:30:00,3541.32,3559.0,3532.57,3558.87,12685.29
2024-03-05 23:45:00,3558.87,3583.91,3550.82,3555.32,17663.2
2024-03-06 00:00:00,3555.32,3570.43,3547.06,3553.45,10137.61
2024-03-06 00:15:00,3553.45,3585.84,3547.36,3585.22,10046.71
2024-03-06 00:30:00,3585.22,3594.62,3582.54,3584.56,10560.19
2024-03-06 00:45:00,3584.56,3593.02,3563.9,3565.06,11223.05
2024-03-06 01:00:00,3565.06,3586.55,3551.58,3555.96,12059.66
2024-03-06 01:15:00,3555.96,3562.86,3535.0,3536.49,8753.89
2024-03-06 01:30:00,3536.49,3545.3,3526.8,3531.33,10604.43
2024-03-06 01:45:00,3531.33,3541.22,3515.7,3521.71,11111.3
2024-03-06 02:00:00,3521.71,3546.97,3510.07,3545.57,12146.63
2024-03-06 02:15:00,3545.57,3553.05,3516.42,3518.15,5998.92
2024-03-06 02:30:00,3518.15,3539.94,3514.13,3537.41,6027.54
2024-03-06 02:45:00,3537.41,3540.11,3501.83,3506.24,12268.96
2024-03-06 03:00:00,3506.24,3525.0,3503.43,3507.53,6391.97
2024-03-06 03:15:00,3507.53,3538.98,3507.53,3536.3,6631.23
2024-03-06 03:30:00,3536.3,3554.99,3527.86,3531.59,8513.34
2024-03-06 03:45:00,3531.59,3554.77,3531.59,3540.84,4703.19
2024-03-06 04:00:00,3540.84,3555.94,3539.16,3553.56,3154.87
2024-03-06 04:15:00,3553.56,3566.43,3552.01,3555.71,5685.31
2024-03-06 04:30:00,3555.71,3585.64,3553.2,3584.97,7821.47
2024-03-06 04:45:00,3584.97,3660.34,3581.07,3654.96,46539.82
2024-03-06 05:00:00,3654.96,3727.43,3652.39,3724.05,45442.0
2024-03-06 05:15:00,3724.05,3761.31,3707.35,3750.17,29971.22
2024-03-06 05:30:00,3750.17,3770.0,3730.3,3745.95,27912.36
2024-03-06 05:45:00,3745.95,3776.52,3733.89,3775.44,16827.0
2024-03-06 06:00:00,3775.44,3794.43,3760.31,3784.01,20548.43
2024-03-06 06:15:00,3784.01,3789.99,3764.7,3771.05,14669.27
2024-03-06 06:30:00,3771.05,3778.91,3764.7,3773.23,11417.41
2024-03-06 06:45:00,3773.23,3773.41,3754.0,3754.28,9053.81
2024-03-06 07:00:00,3754.28,3785.88,3746.56,3781.9,15716.5
2024-03-06 07:15:00,3781.9,3785.59,3766.03,3768.14,11086.16
2024-03-06 07:30:00,3768.14,3775.03,3759.42,3772.43,5996.05
2024-03-06 07:45:00,3772.43,3794.95,3769.08,3791.88,8386.67
2024-03-06 08:00:00,3791.88,3847.88,3783.61,3836.23,33380.44
2024-03-06 08:15:00,3836.23,3865.38,3832.0,3852.57,32103.49
2024-03-06 08:30:00,3852.57,3874.4,3817.06,3837.3,23852.7
2024-03-06 08:45:00,3837.3,3840.08,3815.44,3830.59,15184.71
2024-03-06 09:00:00,3830.59,3855.46,3825.57,3847.89,12588.35
2024-03-06 09:15:00,3847.89,3873.59,3839.71,3849.6,13381.47
2024-03-06 09:30:00,3849.6,3851.24,3825.13,3831.01,11234.26
2024-03-06 09:45:00,3831.01,3837.05,3792.41,3798.65,22905.53
2024-03-06 10:00:00,3798.65,3827.71,3798.17,3818.81,14077.38
2024-03-06 10:15:00,3818.81,3843.84,3815.54,3822.31,12373.13
2024-03-06 10:30:00,3822.31,3844.43,3820.26,3842.49,6351.07
2024-03-06 10:45:00,3842.49,3848.44,3832.2,3845.96,7358.2
2024-03-06 11:00:00,3845.96,3865.49,3840.23,3857.53,12999.69
2024-03-06 11:15:00,3857.53,3902.65,3853.38,3894.66,31533.96
2024-03-06 11:30:00,3894.66,3900.0,3880.24,3886.99,9685.15
2024-03-06 11:45:00,3886.99,3888.0,3866.66,3884.54,7981.28
2024-03-06 12:00:00,3884.54,3907.85,3871.49,3881.83,16839.38
2024-03-06 12:15:00,3881.83,3883.98,3850.46,3862.1,18631.73
2024-03-06 12:30:00,3862.1,3864.75,3824.41,3825.1,27369.49
2024-03-06 12:45:00,3825.1,3848.77,3756.81,3821.29,80419.38
2024-03-06 13:00:00,3821.29,3845.47,3760.57,3816.22,36855.4
2024-03-06 13:15:00,3816.22,3837.57,3804.21,3820.26,16316.06
2024-03-06 13:30:00,3820.26,3849.99,3810.11,3810.84,15143.64
2024-03-06 13:45:00,3810.84,3850.97,3810.73,3835.01,13552.93
2024-03-06 14:00:00,3835.01,3865.99,3834.47,3856.69,12528.61
2024-03-06 14:15:00,3856.69,3867.92,3827.01,3837.09,14726.68
2024-03-06 14:30:00,3837.09,3855.49,3781.78,3795.06,31938.34
2024-03-06 14:45:00,3795.06,3818.91,3770.37,3784.76,30565.09
2024-03-06 15:00:00,3784.76,3797.74,3725.01,3771.67,50355.89
2024-03-06 15:15:00,3771.67,3790.84,3755.94,3782.05,23676.02
2024-03-06 15:30:00,3782.05,3812.59,3780.01,3797.4,18435.03
2024-03-06 15:45:00,3797.4,3806.0,3775.01,3794.05,12798.91
2024-03-06 16:00:00,3794.05,3805.03,3780.0,3790.23,13063.24
2024-03-06 16:15:00,3790.23,3811.24,3777.66,3807.63,15574.33
2024-03-06 16:30:00,3807.63,3808.0,3767.06,3788.8,12393.09
2024-03-06 16:45:00,3788.8,3828.54,3779.07,3819.88,11468.12
2024-03-06 17:00:00,3819.88,3821.75,3797.79,3810.01,7582.79
2024-03-06 17:15:00,3810.01,3816.83,3792.09,3799.12,5311.1
