datetime,open,high,low,close,volume
2022-03-06 19:00:00,2620.45,2626.2,2601.95,2605.25,3803.91
2022-03-06 20:00:00,2605.25,2619.6,2602.55,2614.9,2706.02
2022-03-06 21:00:00,2614.9,2641.6,2609.75,2626.95,5794.28
2022-03-06 22:00:00,2626.95,2641.4,2624.55,2627.3,2512.76
2022-03-06 23:00:00,2627.3,2629.55,2531.7,2548.7,21161.19
2022-03-07 00:00:00,2548.7,2552.3,2508.2,2538.3,14257.71
2022-03-07 01:00:00,2538.3,2555.0,2538.2,2543.5,5277.64
2022-03-07 02:00:00,2543.5,2546.5,2503.75,2518.1,11463.44
2022-03-07 03:00:00,2518.1,2527.1,2506.55,2524.05,5844.15
2022-03-07 04:00:00,2524.05,2529.6,2517.6,2524.75,3241.62
2022-03-07 05:00:00,2524.75,2540.1,2517.0,2527.5,4631.56
2022-03-07 06:00:00,2527.5,2536.15,2525.7,2535.8,2881.0
2022-03-07 07:00:00,2535.8,2538.6,2512.25,2517.9,6275.13
2022-03-07 08:00:00,2517.9,2533.35,2483.2,2531.15,11923.46
2022-03-07 09:00:00,2531.15,2545.05,2526.0,2529.25,4398.45
2022-03-07 10:00:00,2529.25,2532.4,2518.0,2520.6,3900.46
2022-03-07 11:00:00,2520.6,2540.2,2516.0,2537.2,4314.22
2022-03-07 12:00:00,2537.2,2570.0,2537.2,2558.0,11682.22
2022-03-07 13:00:00,2558.0,2626.0,2556.0,2619.0,19096.09
2022-03-07 14:00:00,2619.0,2647.3,2611.25,2611.25,19374.02
2022-03-07 15:00:00,2611.25,2621.0,2594.15,2618.1,14514.08
2022-03-07 16:00:00,2618.1,2638.4,2590.05,2591.05,14646.35
2022-03-07 17:00:00,2591.05,2592.65,2567.75,2570.0,11011.55
2022-03-07 18:00:00,2570.0,2570.05,2512.1,2521.25,17029.27
2022-03-07 19:00:00,2521.25,2524.7,2446.3,2457.85,18207.43
2022-03-07 20:00:00,2457.85,2484.0,2442.75,2464.75,10729.4
2022-03-07 21:00:00,2464.75,2503.25,2459.1,2480.25,11317.61
2022-03-07 22:00:00,2480.25,2526.6,2477.65,2501.7,15364.92
2022-03-07 23:00:00,2501.7,2525.0,2483.5,2490.45,8624.2
2022-03-08 00:00:00,2490.45,2526.4,2478.45,2517.0,7434.89
2022-03-08 01:00:00,2517.0,2548.1,2505.5,2522.95,9354.29
2022-03-08 02:00:00,2522.95,2569.95,2513.7,2545.05,8237.7
2022-03-08 03:00:00,2545.05,2552.05,2532.4,2549.0,14183.11
2022-03-08 04:00:00,2549.0,2563.2,2537.0,2539.5,5875.4
2022-03-08 05:00:00,2539.5,2544.4,2514.0,2524.45,8256.56
2022-03-08 06:00:00,2524.45,2533.7,2494.45,2516.35,8662.76
2022-03-08 07:00:00,2516.35,2544.5,2511.0,2535.0,6374.95
2022-03-08 08:00:00,2535.0,2587.3,2526.15,2570.1,17157.19
2022-03-08 09:00:00,2570.1,2592.3,2566.55,2584.95,9517.57
2022-03-08 10:00:00,2584.95,2609.65,2567.9,2598.6,8654.91
2022-03-08 11:00:00,2598.6,2598.6,2570.4,2588.35,8291.84
2022-03-08 12:00:00,2588.35,2602.15,2565.65,2576.85,6819.75
2022-03-08 13:00:00,2576.85,2595.2,2556.05,2588.05,10287.23
2022-03-08 14:00:00,2588.05,2609.75,2560.2,2573.4,17077.09
2022-03-08 15:00:00,2573.4,2581.0,2531.45,2558.1,15566.58
2022-03-08 16:00:00,2558.1,2589.0,2524.45,2538.35,21781.74
2022-03-08 17:00:00,2538.35,2605.6,2537.15,2592.35,23799.57
2022-03-08 18:00:00,2592.35,2624.5,2567.35,2569.3,14602.4
2022-03-08 19:00:00,2569.3,2584.0,2553.45,2579.8,8072.91
2022-03-08 20:00:00,2579.8,2587.55,2549.2,2552.65,5655.23
2022-03-08 21:00:00,2552.65,2562.8,2548.05,2559.0,2457.74
2022-03-08 22:00:00,2559.0,2574.35,2557.1,2569.0,2150.38
2022-03-08 23:00:00,2569.0,2584.75,2566.5,2576.4,2395.34
2022-03-09 00:00:00,2576.4,2588.6,2568.2,2587.7,3583.06
2022-03-09 01:00:00,2587.7,2626.65,2585.7,2619.15,9763.42
2022-03-09 02:00:00,2619.15,2635.0,2605.75,2619.05,6210.68
2022-03-09 03:00:00,2619.05,2716.0,2617.2,2697.0,28736.12
2022-03-09 04:00:00,2697.0,2727.15,2696.85,2718.15,14486.66
2022-03-09 05:00:00,2718.15,2723.35,2704.65,2713.7,5949.53
2022-03-09 06:00:00,2713.7,2725.85,2706.1,2720.1,4240.64
2022-03-09 07:00:00,2720.1,2745.4,2715.9,2743.65,8267.73
2022-03-09 08:00:00,2743.65,2773.3,2720.85,2754.15,13599.83
2022-03-09 09:00:00,2754.15,2766.6,2751.15,2753.9,4232.82
2022-03-09 10:00:00,2753.9,2759.1,2743.0,2755.35,4620.45
2022-03-09 11:00:00,2755.35,2762.85,2739.55,2745.6,5700.74
2022-03-09 12:00:00,2745.6,2766.95,2728.4,2739.25,7887.19
2022-03-09 13:00:00,2739.25,2742.6,2711.8,2726.9,10224.47
2022-03-09 14:00:00,2726.9,2747.4,2726.2,2737.5,9387.75
2022-03-09 15:00:00,2737.5,2764.7,2734.0,2756.1,8188.75
2022-03-09 16:00:00,2756.1,2757.5,2740.0,2744.95,5061.28
2022-03-09 17:00:00,2744.95,2749.0,2733.35,2742.2,2545.45
2022-03-09 18:00:00,2742.2,2743.0,2700.95,2710.35,7003.19
2022-03-09 19:00:00,2710.35,2719.65,2679.3,2715.3,10632.12
2022-03-09 20:00:00,2715.3,2727.9,2680.05,2685.35,6591.34
2022-03-09 21:00:00,2685.35,2711.2,2683.0,2706.7,3902.19
2022-03-09 22:00:00,2706.7,2727.5,2704.3,2716.65,4529.3
2022-03-09 23:00:00,2716.65,2734.85,2709.5,2726.65,4083.97
2022-03-10 00:00:00,2726.65,2733.0,2706.55,2709.6,4621.24
2022-03-10 01:00:00,2709.6,2724.1,2652.85,2663.2,20972.68
2022-03-10 02:00:00,2663.2,2673.75,2655.0,2661.55,12059.71
2022-03-10 03:00:00,2661.55,2670.5,2652.45,2657.35,4311.56
2022-03-10 04:00:00,2657.35,2663.25,2577.4,2601.35,28081.87
2022-03-10 05:00:00,2601.35,2605.0,2572.35,2588.5,13116.17
2022-03-10 06:00:00,2588.5,2594.3,2569.6,2592.5,7632.4
2022-03-10 07:00:00,2592.5,2597.05,2581.0,2588.95,5293.41
2022-03-10 08:00:00,2588.95,2599.1,2572.7,2596.0,8593.03
2022-03-10 09:00:00,2596.0,2606.0,2587.5,2598.7,6766.68
2022-03-10 10:00:00,2598.7,2600.45,2586.5,2589.05,3715.2
2022-03-10 11:00:00,2589.05,2598.05,2581.85,2592.5,7489.36
2022-03-10 12:00:00,2592.5,2608.0,2584.2,2599.25,6649.39
2022-03-10 13:00:00,2599.25,2647.4,2550.0,2572.95,43352.85
2022-03-10 14:00:00,2572.95,2597.9,2558.5,2593.95,7920.72
2022-03-10 15:00:00,2593.95,2621.85,2582.0,2595.1,13511.72
2022-03-10 16:00:00,2595.1,2603.6,2581.25,2594.0,4878.26
2022-03-10 17:00:00,2594.0,2602.15,2584.6,2590.15,3025.7
2022-03-10 18:00:00,2590.15,2601.6,2584.3,2596.5,2611.4
2022-03-10 19:00:00,2596.5,2615.95,2591.5,2612.35,3190.87
2022-03-10 20:00:00,2612.35,2619.5,2599.1,2617.0,4338.84
2022-03-10 21:00:00,2617.0,2618.95,2600.0,2601.3,2523.43
2022-03-10 22:00:00,2601.3,2614.7,2590.05,2611.3,5083.79
2022-03-10 23:00:00,2611.3,2616.1,2602.5,2605.55,3245.39
2022-03-11 00:00:00,2605.55,2608.0,2584.65,2591.45,4211.79
2022-03-11 01:00:00,2591.45,2593.25,2552.35,2560.0,12558.67
2022-03-11 02:00:00,2560.0,2566.95,2521.15,2526.05,15050.82
2022-03-11 03:00:00,2526.05,2552.2,2521.1,2549.9,7465.83
2022-03-11 04:00:00,2549.9,2549.95,2531.7,2538.0,3149.56
2022-03-11 05:00:00,2538.0,2565.25,2534.0,2564.0,5843.93
2022-03-11 06:00:00,2564.0,2596.8,2560.1,2579.25,13608.25
2022-03-11 07:00:00,2579.25,2617.6,2579.2,2606.35,11338.39
2022-03-11 08:00:00,2606.35,2610.15,2588.4,2598.0,8757.56
2022-03-11 09:00:00,2598.0,2608.5,2590.45,2600.9,5603.98
2022-03-11 10:00:00,2600.9,2607.05,2597.1,2599.9,4018.96
2022-03-11 11:00:00,2599.9,2670.0,2578.5,2654.05,34914.52
2022-03-11 12:00:00,2654.05,2675.2,2641.75,2652.45,17586.21
2022-03-11 13:00:00,2652.45,2654.35,2610.4,2618.5,19078.37
2022-03-11 14:00:00,2618.5,2635.75,2602.15,2609.35,8984.17
2022-03-11 15:00:00,2609.35,2609.4,2564.3,2579.4,17111.7
2022-03-11 16:00:00,2579.4,2580.0,2550.55,2559.0,8884.44
2022-03-11 17:00:00,2559.0,2568.8,2545.3,2564.4,4646.92
2022-03-11 18:00:00,2564.4,2571.75,2554.4,2555.0,3336.13
2022-03-11 19:00:00,2555.0,2566.15,2551.0,2556.65,4876.55
2022-03-11 20:00:00,2556.65,2562.15,2525.65,2530.95,7125.74
2022-03-11 21:00:00,2530.95,2585.8,2530.95,2571.0,9287.31
2022-03-11 22:00:00,2571.0,2580.4,2567.15,2570.55,2570.67
2022-03-11 23:00:00,2570.55,2570.55,2555.2,2555.8,2091.05
2022-03-12 00:00:00,2555.8,2583.9,2552.4,2581.15,4868.28
2022-03-12 01:00:00,2581.15,2594.1,2576.9,2587.0,6467.43
2022-03-12 02:00:00,2587.0,2595.6,2575.1,2578.65,3245.04
2022-03-12 03:00:00,2578.65,2592.5,2578.25,2581.65,3422.56
2022-03-12 04:00:00,2581.65,2589.4,2567.6,2581.35,3913.8
2022-03-12 05:00:00,2581.35,2593.45,2576.8,2587.25,2181.33
